Entry Time,Exit Time,Plate Number,Duration (hours),Fare (₹)
2026-01-11 00:12:03,,UNKNOWN_50,,
2026-01-11 00:12:03,,UNKNOWN_61,,
2026-01-11 00:13:02,,UNKNOWN_217,,
2026-01-11 00:20:06,,UNKNOWN_677,,
2026-01-11 00:21:23,,L656YN,,
2026-01-11 00:21:40,,UNKNOWN_824,,
2026-01-11 00:23:14,,L656KH,,
2026-01-11 00:23:59,,L856TH,,
2026-01-11 00:24:37,,L656KM,,
2026-01-11 00:28:46,,UNKNOWN_1354,,
2026-01-11 00:28:53,,UNKNOWN_1374,,
2026-01-11 00:29:28,,UNKNOWN_1384,,
2026-01-11 00:29:28,2026-01-11 00:29:41,UNKNOWN_1384,0.0,50.0
